请求大小	分配大小	小块内存碎片率	页内存内部碎片率	分配页个数
1	8	87.50%	0.00%	1
2	8	75.00%	0.00%	1
3	8	62.50%	0.00%	1
4	8	50.00%	0.00%	1
5	8	37.50%	0.00%	1
6	8	25.00%	0.00%	1
7	8	12.50%	0.00%	1
8	8	0.00%	0.00%	1
9	16	43.75%	0.00%	1
10	16	37.50%	0.00%	1
11	16	31.25%	0.00%	1
12	16	25.00%	0.00%	1
13	16	18.75%	0.00%	1
14	16	12.50%	0.00%	1
15	16	6.25%	0.00%	1
16	16	0.00%	0.00%	1
17	24	29.17%	0.00%	3
18	24	25.00%	0.00%	3
19	24	20.83%	0.00%	3
20	24	16.67%	0.00%	3
21	24	12.50%	0.00%	3
22	24	8.33%	0.00%	3
23	24	4.17%	0.00%	3
24	24	0.00%	0.00%	3
25	32	21.88%	0.00%	1
26	32	18.75%	0.00%	1
27	32	15.62%	0.00%	1
28	32	12.50%	0.00%	1
29	32	9.38%	0.00%	1
30	32	6.25%	0.00%	1
31	32	3.12%	0.00%	1
32	32	0.00%	0.00%	1
33	40	17.50%	0.00%	5
34	40	15.00%	0.00%	5
35	40	12.50%	0.00%	5
36	40	10.00%	0.00%	5
37	40	7.50%	0.00%	5
38	40	5.00%	0.00%	5
39	40	2.50%	0.00%	5
40	40	0.00%	0.00%	5
41	48	14.58%	0.00%	3
42	48	12.50%	0.00%	3
43	48	10.42%	0.00%	3
44	48	8.33%	0.00%	3
45	48	6.25%	0.00%	3
46	48	4.17%	0.00%	3
47	48	2.08%	0.00%	3
48	48	0.00%	0.00%	3
49	56	12.50%	0.00%	7
50	56	10.71%	0.00%	7
51	56	8.93%	0.00%	7
52	56	7.14%	0.00%	7
53	56	5.36%	0.00%	7
54	56	3.57%	0.00%	7
55	56	1.79%	0.00%	7
56	56	0.00%	0.00%	7
57	64	10.94%	0.00%	1
58	64	9.38%	0.00%	1
59	64	7.81%	0.00%	1
60	64	6.25%	0.00%	1
61	64	4.69%	0.00%	1
62	64	3.12%	0.00%	1
63	64	1.56%	0.00%	1
64	64	0.00%	0.00%	1
65	72	9.72%	0.00%	9
66	72	8.33%	0.00%	9
67	72	6.94%	0.00%	9
68	72	5.56%	0.00%	9
69	72	4.17%	0.00%	9
70	72	2.78%	0.00%	9
71	72	1.39%	0.00%	9
72	72	0.00%	0.00%	9
73	80	8.75%	0.00%	5
74	80	7.50%	0.00%	5
75	80	6.25%	0.00%	5
